Q_ID,T_ID,Tool_type,Last_function,Size_class,Material_subclass
TS1_Q0,T1,H,H,3,Laterite
TS1_Q0,T10,H,H,2,Laterite
TS1_Q0,T2,H,H,4,Laterite
TS1_Q0,T3,H,H,3,Conglomerate
TS1_Q0,T4,Hb,H,3,Laterite
TS1_Q0,T5,Af,A,6,Granite
TS1_Q0,T7,H,H,4,Laterite
TS1_Q0,T8,Hb,H,3,Conglomerate
TS1_Q0,T9,A,A,4,Laterite
TS10_Q0,T82,H,H,4,Granite
TS10_Q0,T83,A,A,5,Granite
TS10_Q0,T84,H,H,3,Granite
TS10_Q0,T85,H/A,A,4,Quartzite
TS10_Q0,T86,H,H,3,Granite
TS10_Q0,T87.3,Hb,H,3,Granite
TS10_Q0,T88,A,A,4,Granite
TS10_Q0,T89,H,H,4,Granite
TS10_Q0,T90,A,A,5,Granite
TS11_Q0,T91,A,A,5,Granite
TS11_Q0,T92,H,H,4,Granite
TS11_Q0,T93,Af,A,5,Granite
TS11_Q0,T94,Af,A,5,Granite
TS12_Q0,T100,H,H,3,Granite
TS12_Q0,T101,H,H,3,Laterite
TS12_Q0,T102,H,H,4,Granite
TS12_Q0,T103,Af,A,6,Granite
TS12_Q0,T104,A,A,4,Granite
TS12_Q0,T105,A,A,4,Granite
TS12_Q0,T106.1,Hb,H,3,Granite
TS12_Q0,T95.1,Hb,H,3,Granite
TS12_Q0,T95.2,Hb,H,4,Granite
TS12_Q0,T96,Hb,H,3,Granite
TS12_Q0,T97,A,A,3,Granite
TS12_Q0,T98,A,A,4,Granite
TS13_Q0,T107,A,A,5,Granite
TS13_Q0,T108,H,H,4,Granite
TS13_Q0,T109,Af,A,5,Granite
TS13_Q0,T110,H,H,3,Laterite
TS13_Q0,T111,Af,A,5,Granite
TS13_Q0,T112,H,H,4,Granite
TS13_Q0,T113,Af,A,6,Granite
TS13_Q0,T114,Af,A,4,Granite
TS13_Q0,T115,Hb,H,3,Granite
TS13_Q0,T116,H,H,3,Granite
TS13_Q0,T117,A,A,4,Granite
TS13_Q0,T118,H,H,3,Granite
TS13_Q0,T119,H,H,4,Laterite
TS14_Q0,T120,Af,A,5,Granite
TS14_Q0,T121,Hb,H,3,Granite
TS14_Q0,T122,H,H,3,Granite
TS14_Q0,T123,A,A,4,Granite
TS14_Q0,T124,A,A,4,Granite
TS14_Q0,T125,H,H,3,Granite
TS14_Q0,T126,Af,A,4,Granite
TS15_Q0,T128,A,A,4,Granite
TS15_Q0,T129,H,H,3,Granite
TS15_Q0,T130,H,H,3,Granite
TS15_Q0,T131,A,A,4,Granite
TS15_Q0,T132,H,H,4,Granite
TS16_Q0,T134,Hb,H,3,Granite
TS16_Q0,T135,Hb,H,3,Granite
TS16_Q0,T136,Hb,H,3,Granite
