"","meta.instanceID","Date","Week","Q_ID","Recent_activity","Nut_count","Num_regime","Source","Month"
"1","uuid:e03c91f4-1cdf-4aaa-a818-78106243dc7b","28/01/2018 07:04",1,"TS8_Q0","N",NA,NA,"FS",NA
"2","uuid:559d0710-271c-48c8-88d0-8c8f84702206","28/01/2018 07:09",1,"TS9_Q0","N",NA,NA,"FS",NA
"3","uuid:4e116ea4-9a9b-4eaa-89b5-b97e8565c7ae","28/01/2018 07:27",1,"TS7_Q0","N",NA,NA,"FS",NA
"4","uuid:284cf72b-6c0d-42f5-9daf-a6f79d4bac06","28/01/2018 07:42",1,"TS6_Q0","Y",NA,NA,"FS",NA
"5","uuid:54ad01b1-faa8-4d68-875a-d2055ef874c0","28/01/2018 08:04",1,"TS5_Q0","N",NA,NA,"FS",NA
"6","uuid:f27ea7f5-af15-4942-91d0-00f16adf2175","28/01/2018 08:09",1,"TS10_Q0","N",NA,NA,"FS",NA
"7","uuid:fedf6da5-bac8-4ce7-98e0-c120b1beb748","28/01/2018 08:27",1,"TS14_Q0","N",NA,NA,"FS",NA
"8","uuid:e20de5bf-5ca1-4f66-a5c8-8776affd248a","28/01/2018 08:32",1,"TS15_Q0","N",NA,NA,"FS",NA
"9","uuid:ba786aa6-17d6-44dd-82b1-53a7ced309b6","28/01/2018 08:39",1,"TS16_Q0","N",NA,NA,"FS",NA
"10","uuid:37869ab2-4215-43d4-8f12-91ebd5606828","28/01/2018 08:50",1,"TS12_Q0","N",NA,NA,"FS",NA
"11","uuid:1cb4edbc-77dc-4835-9b4c-72116c4d321f","28/01/2018 08:52",1,"TS17_Q0","N",NA,NA,"FS",NA
"12","uuid:272d884c-aec3-428c-ad64-c82c778d7aa8","28/01/2018 08:55",1,"TS18_Q0","N",NA,NA,"FS",NA
"13","uuid:a14da0fb-e376-4ab0-9484-f0117d84cb6d","28/01/2018 08:57",1,"TS19_Q0","N",NA,NA,"FS",NA
