Q_ID,TS_Pres,NT_Count,NT_Fr_Bear,RM,Wfood_THV,Wfood_2DBH,Wfood_10DBH,Wfood_Fr,Wfood_Fr_10DBH,River_dist,Tool_Count,RM_S3_S5,Nest_dist
TS1_Q0,1,1,1,14,2,9,4,9,4,40.7914419,10,11,69.79922
TS1_QN1,0,0,0,0,0,6,6,2,2,59.10707891,0,0,115.98164
TS1_QN2,0,1,1,0,0,3,3,2,2,137.941995,0,0,188.07296
TS1_QN3,0,0,0,0,0,4,4,1,1,97.38650433,0,0,265.91522
TS1_QN4,0,0,0,0,0,3,1,2,1,30.71419325,0,0,359.98012
TS1_QN5,0,0,0,1,0,1,1,1,1,30.64423848,0,0,458.75523
TS1_QS1,0,1,0,1,9,1,1,1,1,66.196755,0,0,133.94158
TS1_QS2,0,0,0,1,0,3,3,3,3,89.89175008,0,0,224.37438
TS1_QS3,0,0,0,0,0,6,4,5,3,166.7995144,0,0,280.21237
TS1_QS4,0,0,0,0,0,5,4,4,3,177.8541164,0,0,186.40434
TS1_QS5,0,0,0,0,0,5,4,4,4,176.814304,0,0,102.191
TS10_Q0,1,1,1,9,0,0,0,0,0,183.0005507,9,9,315.56449
TS10_QSE1,0,0,0,0,0,5,4,3,2,216.8608044,0,0,239.50717
TS10_QSE2,0,0,0,0,0,2,1,0,0,120.6553702,0,0,182.46162
TS10_QSE3,0,1,0,0,0,1,0,1,0,35.65895682,0,0,168.81584
TS10_QSE4,0,0,0,0,0,6,4,4,3,35.8055941,0,0,199.51313
TS10_QSE5,0,1,1,1,0,1,0,1,0,137.7272244,0,1,279.88692
TS11_Q0,1,1,1,24,1,2,2,2,2,51.72901043,4,12,521.5717
TS11_QN1,0,0,0,0,1,4,4,2,2,34.95858639,0,0,610.76776
TS11_QN2,0,0,0,0,1,2,2,1,1,61.97374836,0,0,695.38926
TS11_QN3,0,1,1,0,1,1,1,1,1,94.42604308,0,0,781.0618
TS11_QN4,0,0,0,8,0,1,1,0,0,181.8271442,0,6,878.10973
TS11_QN5,0,0,0,0,0,1,1,0,0,149.2137098,0,0,983.07995
TS12_Q0,1,1,1,19,0,2,0,2,0,116.6283231,12,17,164.17056
TS13_Q0,1,2,2,21,1,12,8,9,6,61.1405968,13,15,243.40994
TS13_QE1,0,0,0,0,1,4,2,2,0,21.53278627,0,0,229.74508
TS13_QE2,0,0,0,10,0,3,3,1,1,117.2050864,0,7,249.60313
TS13_QE3,0,0,0,28,0,4,2,1,0,213.25178,0,28,303.00094
TS13_QE4,0,0,0,0,0,3,2,3,2,241.4852366,0,0,378.73901
TS13_QE5,0,0,0,0,1,2,2,2,2,147.1441333,0,0,458.58284
TS13_QW1,0,0,0,4,0,3,0,3,0,24.68683188,0,1,309.11194
TS13_QW2,0,0,0,20,2,1,0,0,0,48.2816061,0,10,316.07339
TS13_QW3,0,0,0,9,8,0,0,0,0,130.2829845,0,9,269.43555
TS13_QW4,0,0,0,23,0,0,0,0,0,197.1127707,0,19,244.4459
TS13_QW5,0,0,0,12,0,1,0,1,0,188.1587836,0,11,253.55478
TS14_Q0,1,1,1,7,2,7,6,6,5,76.76271996,8,7,284.23624
TS14_QE1,0,0,0,0,0,1,0,1,0,98.47385157,0,0,246.51565
TS14_QE2,0,0,0,0,0,4,2,3,2,180.0741874,0,0,234.08757
TS14_QE3,0,0,0,0,1,4,3,1,1,154.4204182,0,0,214.3314
TS14_QE4,0,0,0,1,2,6,3,4,1,113.842963,0,0,147.52549
TS14_QE5,0,0,0,0,3,4,1,3,0,106.2027756,0,0,126.12715
TS14_QW1,0,1,1,4,4,3,3,1,1,50.89859887,0,3,343.50169
TS14_QW2,0,0,0,0,3,1,1,1,1,2.41269669,0,0,413.92947
TS14_QW3,0,1,1,3,0,1,1,0,0,6.920927657,0,3,489.47483
TS14_QW4,0,1,1,0,0,1,1,1,1,48.9731054,0,0,573.18064
TS15_Q0,1,1,1,6,1,5,5,4,4,99.36438309,5,6,318.69746
TS16_Q0,1,1,1,5,0,0,0,0,0,46.14248344,6,5,229.88725
TS17_Q0,1,1,1,30,1,4,2,4,2,98.36814758,21,29,155.28854
TS18_Q0,1,1,1,12,0,6,4,4,2,92.11093053,15,10,156.06907
TS18_QN1,0,0,0,6,2,4,3,3,2,134.7698275,0,3,140.22753
TS18_QN2,0,0,0,0,1,3,3,2,2,218.8103153,0,0,194.0138
TS18_QN3,0,0,0,0,2,1,1,1,1,157.9268353,0,0,277.24689
TS18_QN4,0,0,0,0,1,1,1,0,0,109.1848368,0,0,357.42998
TS18_QN5,0,1,1,0,0,0,0,0,0,75.45428148,0,0,456.67366
TS18_QS1,0,0,0,1,2,4,2,2,0,23.05864793,0,1,209.05327
TS18_QS2,0,0,0,0,0,3,3,3,3,60.66079504,0,0,298.92277
